ISO,0,1,2,3,4,5,6,7,8,9,10,11
AFG,0.09340758421799032,0.07173963436266272,0.08928241617069012,0.08772532750920552,0.09993149376497036,0.08868217227480761,0.07127075369765119,0.0747475586377266,0.06950829405246711,0.09832201620972739,0.08570430664027609,0.06967842692463863
AGO,0.07956239527031299,0.07466798389871274,0.08385161968368676,0.07257313269280619,0.08010676148678025,0.11788607995596624,0.08586062442871832,0.07031072841416444,0.07089444919819793,0.09242894963151024,0.09823311624988433,0.07362413796926698
ALB,0.08064559424916903,0.08014971613883973,0.07838961730400722,0.0855563464264075,0.0825750673810641,0.08664464751879374,0.08339293797810872,0.08008248408635457,0.08726683010657628,0.0773666833837827,0.07945753832658133,0.09847250382105509
ARE,0.0895069007202983,0.076850754506886,0.07750467289239169,0.08096675395965576,0.07807829827070237,0.07253508519381285,0.07303565200418234,0.07985761862248182,0.06393777899444103,0.08723772965371608,0.14851726915687322,0.07197146909311414
ARG,0.07387321412563325,0.0724336191266775,0.08366088785231113,0.06987998664379119,0.0752993018180132,0.08887809500098229,0.08909372605383396,0.11077361062169075,0.0926018562912941,0.0692525316029787,0.0584649059176445,0.11578825652599335
ARM,0.08930322888397402,0.06825162350170073,0.08202282771948845,0.07224469595859127,0.07669723310297535,0.10305649727102249,0.08153032559540964,0.0809510576148187,0.07770566389926019,0.07793460461881853,0.0703705177912789,0.11993170325313846
ATG,0.09429635852575302,0.0836709528895361,0.08623363596520253,0.07956253770472747,0.0686863192490169,0.08283900176840168,0.07567184125738484,0.11310541470135961,0.07256053128678884,0.06182019638695887,0.08948310677494321,0.09207009763589927
AUS,0.07109277289022099,0.06014177253977819,0.06517691842534325,0.06827386570247737,0.07770183648575436,0.1395829509605061,0.061040563000874085,0.06846559860489586,0.11402016505599022,0.06900444796139543,0.07032025199044835,0.13517884571443906
AZE,0.07316214963793755,0.09473733555363573,0.07973375074241472,0.06932669716036838,0.07718252941318181,0.10198148631531259,0.07210072794038316,0.0720532925232597,0.07482448009693105,0.08824428462463876,0.10768415244377177,0.08896909297808357
BDI,0.07928117136160533,0.09027059276898702,0.09174314841628074,0.09568467035889626,0.08215234950184822,0.07808206627766291,0.07923293814063072,0.07884862904747326,0.07675092041492462,0.09447809621691704,0.08089272250731785,0.07258268103003501
BEN,0.08162009520814396,0.07379837051177254,0.08469669425931688,0.08540197902430709,0.07921605739885798,0.09065276636885336,0.08212083212744731,0.079963806980791,0.07798984953059027,0.105277429943761,0.09010289504658431,0.06915920559101953
BFA,0.09051651267502545,0.07565273801791725,0.08083587161031379,0.07822355361417006,0.08437340484128744,0.08471161187118828,0.08516651999328939,0.08128161055711208,0.08044232233864436,0.09680574297269373,0.08149185247048382,0.08049824736765211
BGD,0.08896491614480813,0.07993426717732144,0.08381767027165699,0.07724428189725711,0.07726597190759647,0.08281170572528894,0.11424174682162273,0.07652483829136553,0.08264502737371401,0.07561568962945335,0.08748467013924971,0.07344919965527523
BHR,0.08151454354325931,0.08327576067919533,0.08331063467388351,0.08418897291024525,0.06920852496599157,0.07719202851876616,0.07427286931003134,0.07804567149529855,0.07232755438114206,0.0876847558344404,0.11989321156094472,0.08908546079571049
BIH,0.07171361761667379,0.09333813145029836,0.0739585921259188,0.06919038345719256,0.10821711908026439,0.1354520243660706,0.07445506733365176,0.06737702071848439,0.08744059048774766,0.06320137894008218,0.08245029727496751,0.07320575965795575
BLZ,0.07648248778599681,0.08858031550930305,0.09439022720537403,0.11486740190197121,0.076237701105349,0.08557161598494559,0.0814723793530103,0.07464961797902078,0.06359407748801238,0.10138432399341554,0.0759803197544181,0.06678951590914618
BOL,0.07233528231325395,0.07440833029720713,0.08091368570047267,0.07905130137634628,0.09297729058958151,0.07076564425712123,0.07323709845214206,0.06796326143119265,0.11084139823694439,0.10431897497790701,0.08143628136638333,0.09175144174300573
BRA,0.07098794306317965,0.059485782062013944,0.06835210826247931,0.07268267273902893,0.09011348448693753,0.09857828427727024,0.07208976869781812,0.06641733876119058,0.10336221475154161,0.07689376100897789,0.08557129967957736,0.13546533683935802
BRB,0.07715212416892149,0.08475779627962989,0.08305156474210779,0.08396137422140763,0.07475336025259932,0.0929708618442623,0.08582552590844583,0.08643282242879576,0.075037168376908,0.0652587933807957,0.09038824291557682,0.10041035445673126
